"","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","word"
"39",FALSE,0,NA,2017-12-17 14:34:02,FALSE,NA,"942402510177914880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZoYoEden",5,TRUE,FALSE,NA,NA,"real"
"40",FALSE,0,NA,2017-12-17 14:34:02,FALSE,NA,"942402510177914880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZoYoEden",5,TRUE,FALSE,NA,NA,"sense"
"41",FALSE,0,NA,2017-12-17 14:34:02,FALSE,NA,"942402510177914880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZoYoEden",5,TRUE,FALSE,NA,NA,"identity"
"42",FALSE,0,NA,2017-12-17 14:34:02,FALSE,NA,"942402510177914880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZoYoEden",5,TRUE,FALSE,NA,NA,"fashion"
"43",FALSE,0,NA,2017-12-17 14:34:02,FALSE,NA,"942402510177914880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZoYoEden",5,TRUE,FALSE,NA,NA,"cruel"
"44",FALSE,0,NA,2017-12-17 14:33:28,FALSE,NA,"942402369945526277",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZoYoEden",5,TRUE,FALSE,NA,NA,"rt"
"45",FALSE,0,NA,2017-12-17 14:33:28,FALSE,NA,"942402369945526277",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZoYoEden",5,TRUE,FALSE,NA,NA,"ladybruce1"
"46",FALSE,0,NA,2017-12-17 14:33:28,FALSE,NA,"942402369945526277",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZoYoEden",5,TRUE,FALSE,NA,NA,"gingerfashionuk"
"47",FALSE,0,NA,2017-12-17 14:33:28,FALSE,NA,"942402369945526277",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZoYoEden",5,TRUE,FALSE,NA,NA,"disappointed"
"48",FALSE,0,NA,2017-12-17 14:33:28,FALSE,NA,"942402369945526277",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZoYoEden",5,TRUE,FALSE,NA,NA,"trade"
"49",FALSE,0,NA,2017-12-17 14:33:28,FALSE,NA,"942402369945526277",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZoYoEden",5,TRUE,FALSE,NA,NA,"fur"
"50",FALSE,0,NA,2017-12-17 14:33:28,FALSE,NA,"942402369945526277",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZoYoEden",5,TRUE,FALSE,NA,NA,"stock"
"51",FALSE,0,NA,2017-12-17 14:33:28,FALSE,NA,"942402369945526277",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZoYoEden",5,TRUE,FALSE,NA,NA,"canadagoose"
"52",FALSE,0,NA,2017-12-17 14:33:28,FALSE,NA,"942402369945526277",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZoYoEden",5,TRUE,FALSE,NA,NA,"isnt"
"53",FALSE,0,NA,2017-12-17 14:33:28,FALSE,NA,"942402369945526277",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZoYoEden",5,TRUE,FALSE,NA,NA,"fashion"
"54",FALSE,0,NA,2017-12-17 14:33:28,FALSE,NA,"942402369945526277",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZoYoEden",5,TRUE,FALSE,NA,NA,"forward"
"55",FALSE,0,NA,2017-12-17 14:32:20,FALSE,NA,"942402083776552961",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZoYoEden",1,TRUE,FALSE,NA,NA,"rt"
"56",FALSE,0,NA,2017-12-17 14:32:20,FALSE,NA,"942402083776552961",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZoYoEden",1,TRUE,FALSE,NA,NA,"ladybruce1"
"57",FALSE,0,NA,2017-12-17 14:32:20,FALSE,NA,"942402083776552961",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZoYoEden",1,TRUE,FALSE,NA,NA,"canadagoose"
"58",FALSE,0,NA,2017-12-17 14:32:20,FALSE,NA,"942402083776552961",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZoYoEden",1,TRUE,FALSE,NA,NA,"buy"
"59",FALSE,0,NA,2017-12-17 14:32:20,FALSE,NA,"942402083776552961",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZoYoEden",1,TRUE,FALSE,NA,NA,"animalcruelty"
"60",FALSE,0,NA,2017-12-17 14:18:55,FALSE,NA,"942398707634507781",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ATWARFORANIMALS",9,TRUE,FALSE,NA,NA,"rt"
"61",FALSE,0,NA,2017-12-17 14:18:55,FALSE,NA,"942398707634507781",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ATWARFORANIMALS",9,TRUE,FALSE,NA,NA,"suf_fur_ing"
"62",FALSE,0,NA,2017-12-17 14:18:55,FALSE,NA,"942398707634507781",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ATWARFORANIMALS",9,TRUE,FALSE,NA,NA,"wearing"
"63",FALSE,0,NA,2017-12-17 14:18:55,FALSE,NA,"942398707634507781",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ATWARFORANIMALS",9,TRUE,FALSE,NA,NA,"canadagoose"
"64",FALSE,0,NA,2017-12-17 14:18:55,FALSE,NA,"942398707634507781",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ATWARFORANIMALS",9,TRUE,FALSE,NA,NA,"means"
"65",FALSE,0,NA,2017-12-17 14:18:55,FALSE,NA,"942398707634507781",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ATWARFORANIMALS",9,TRUE,FALSE,NA,NA,"fund"
"66",FALSE,0,NA,2017-12-17 14:18:55,FALSE,NA,"942398707634507781",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ATWARFORANIMALS",9,TRUE,FALSE,NA,NA,"amp"
"67",FALSE,0,NA,2017-12-17 14:18:55,FALSE,NA,"942398707634507781",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ATWARFORANIMALS",9,TRUE,FALSE,NA,NA,"promote"
"68",FALSE,0,NA,2017-12-17 14:18:55,FALSE,NA,"942398707634507781",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ATWARFORANIMALS",9,TRUE,FALSE,NA,NA,"dogs"
"69",FALSE,0,NA,2017-12-17 14:18:55,FALSE,NA,"942398707634507781",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ATWARFORANIMALS",9,TRUE,FALSE,NA,NA,"suffering"
"70",FALSE,0,NA,2017-12-17 14:18:55,FALSE,NA,"942398707634507781",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ATWARFORANIMALS",9,TRUE,FALSE,NA,NA,"terror"
"71",FALSE,0,NA,2017-12-17 14:18:55,FALSE,NA,"942398707634507781",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ATWARFORANIMALS",9,TRUE,FALSE,NA,NA,"amp"
"72",FALSE,0,NA,2017-12-17 14:18:55,FALSE,NA,"942398707634507781",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ATWARFORANIMALS",9,TRUE,FALSE,NA,NA,"death"
"73",FALSE,0,NA,2017-12-17 14:18:55,FALSE,NA,"942398707634507781",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ATWARFORANIMALS",9,TRUE,FALSE,NA,NA,"furfree"
"74",FALSE,0,NA,2017-12-17 14:18:55,FALSE,NA,"942398707634507781",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ATWARFORANIMALS",9,TRUE,FALSE,NA,NA,"furhag"
